,title,synopsis,avg_rating,published_date,review,rating
10,Can't Hurt Me: Master Your Mind and Defy the Odds,New York Times Best SellerOver 5 million copies sold,4.34,"['November', '15,', '2018']","I'm of two minds about this book. On the one hand, it's an inspiring story of a man who has overcome a lifetime of struggle and proved that you can do anything if you're willing to push yourself. In the first half of the book especially this was a message that resonated with me and made me think about David Goggins as a man to look up to. On the other hand, it's a cautionary tale of a man who is so stubborn he can not learn from his past mistakes. He is constantly going into situations underprepared and then pushing his body past the point of sanity in order to accomplish a goal and seemingly expecting applause for that. Were he in some life or death situation then I might just give him said applause, but instead, he is always just trying to prove something to himself which is a really unhealthy way to go through life. Overall there were two main lessons to take from Mr Goggins story. One is that if you really put your mind to a task you can achieve the impossible. The second is that there is nothing admirable about taking the path of highest resistance just for the sake of personal pride. Yes, Mr Goggins has achieved amazing things, but there are others who have achieved similar results in a more intelligent and healthy way. In the end, I came in exactly on the halfway mark in regards to how I felt about this book and I have rounded up for the sake of not wanting to give this book a 2-star review. One final note is a comment on the audiobook. Mr Goggins made the decision to insert multiple interludes that feature the narrator interviewing him. These were interesting at first but soon grew really tiresome. They felt really self-serving as each one went along the lines of the narrator expressing how in awe of David Goggins he was, and David Goggins expressing yet again how hard it was for him to achieve his goals. I could have done without 50% of these as well.",3.0
11,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,The #1 New York Times Bestseller You Are A Badass is the self-help book for people who desperately want to improve their lives but don't want to get busted doing it.,3.95,"['April', '23,', '2013']","Not good. I can sum up this book pretty quickly. If you want to make a change in your life, or if you are not happy with your life, you are the only one who can make it better. There were a few things that really bothered me. If you are depressed, you cannot simply decide that you are not going to be depressed anymore and get yourself out and have fun. It is apparent that the author has never experienced depression, or been a very sympathetic friend to anyone she knows who has been depressed. I also feel that some of her advice is not very practical in the real world. So if I'm a single mom supporting 4-5 kids, and I've always dreamed of starting my own business, I should just quit my job? I should buy expensive things, that I might not be able to pay for? There is some good advice on stopping negative thoughts, but some of the examples of going for what you really want are just not practical for most people.",1.0
12,The Last Lecture,,4.26,"['April', '8,', '2008']","I sat down to write my review of “The Last Lecture” on Friday July 25th. Before I started to write, I decided to check Randy Pausch's website for any updates on his condition. He had died that morning at the age of 47. The book, and the lecture itself, now take on new meaning.For those who aren't aware, Randy Pausch was a computer science professor at Carnegie Mellon University. The university has a tradition of inviting professors to give a lecture where they pretend that it is their last chance ever to talk to their students. What would you say? What wisdom would you impart? What are your lessons in life? For Randy, this was not a hypothetical question. Barely a minute into the lecture he introduced “the elephant in the room”: advanced pancreatic cancer that would kill him in a matter of months. With this revelation out of the way, he gave a talk about achieving your childhood dreams and enabling the dreams of others. The lecture was so full of optimism, clarity, hope, humour, and sincerity that the YouTube video went viral and a few months later it was published as a book. “The Last Lecture” contains everything that Randy covered in the lecture, plus some other anecdotes and pearls of wisdom from his life and experience.Like the lecture, the book is earnest and straightforward. Randy tells a story then gives us the moral in case we missed it. He fills his stories with humour, occasionally laugh out loud. What comes across most strongly is his deep love for his wife and children who he knew he would be leaving behind. It's hard to read this book and not have a good impression of the author. He seems like a great guy, someone that you would love to have as a mentor or friend. I think this is reason that the lecture was such a success; his personality makes a watcher puts more stock in his words. This still comes across in the book, although not as strongly as in the lecture. In fact, without seeing him on video and hearing him speak the words, reading the book can almost get a bit tiring. I recall thinking on a number of occasions: “Ok, we know that you're a really smart guy who works really hard and never gives up, you don't need to keep telling me”. Some of the advice in the book, especially that which goes beyond what he said in the lecture, can be a bit tough to swallow. For example, his advice to always carry 200$ in cash in your wallet; does he think that only the upper middle class are going to read this book? Similarly, he often speaks of the great mentors, friends, and supporters that he has had through his life; not everyone goes to a university where the professors have such extensive connections to facilitate their student's careers. Finally, his advice to never give up (“Brick walls are not there to keep us out, they are there so we can show how much we want something”) sometimes comes across as as sense of entitlement. He never says to expect something for nothing, but does imply that anything you want to achieve is possible if only you work hard enough at it. Advice like this sometimes crosses the line into sappiness and glurge. Fortunately these moments are fairly rare, and as long as you don't read the book in a single sitting (which is quite possible) then you probably won't feel too overwhelmed.Interestingly, shortly after I watched the last lecture on YouTube a student of mine asked me a similar question to the topic of the last lecture. What do I consider my most important lesson in life so far? It is quite a difficult question to answer. I'm sure that I don't have the life experience to give a good enough answer, but it's quite possible that this student was bright enough to recognize that and learn something from the incompleteness of my relatively uninformed response. I hope that someday I can have the kind of perspective that Randy shows in the lecture and the book. We need people like Randy, who have a clear picture of what they have learned in life and who are willing to share it. Regardless of whether you or I agree completely with his advice, what shines through is that this was a man who lived his life according to principles that he believed in, and that he thought others would benefit from hearing. His life, lecture, book, and his death remind me of a quote from Dr. Howard Thurman: ""Don't ask yourself what the world needs. Ask yourself what makes you come alive and then go do that. Because what the world needs is people who have come alive”. Even as he lived the last few months of his life, I know that Randy was truly alive.",3.0
13,The Power of Habit: Why We Do What We Do in Life and Business,,4.13,"['April', '25,', '2012']","I just read Kelly McGonigal's ""The Willpower Instinct"", so I can't help but compare the two.Duhigg is an investigative reporter for the NY Times, while McGonigal is a research psychologist, and the differences come across in the writing. McGonigal has a much better grasp on the research and how to apply it, while Duhigg brings in stories that are entertaining but stretch his powers of interpretation. His most annoying stylistic problem is that he breaks his stories up, stopping one to start another and then coming back to it later. I assume he's trying to add a sense of anticipation and drama to what should otherwise be a straightforward nonfiction book, but I found it frustrating for him to be jumping back and forth for no good reason.I did enjoy many of his stories though. The most interesting was in the section about social habits where he explains why the arrest of Rosa Parks was so influential while other black women at the same time had also refused to give up their seats but didn't spark much interest (Parks had social ties across dozens of groups, black and white, and knew some people of influence). The entire story of how Martin Luther King, Jr. became involved, and all the people who got the bus boycott rolling is so fascinating to hear in detail.",2.0
14,Girl Wash your Face,,3.58,"['February', '6,', '2018']","Some parts of this book spoke to me (yes, I can be better at showing up for myself), and others made me want to throw the book across the room and scream. I struggled with every word she said about diet and body image—what was meant to be uplifting and inspiring was preached as scientific fact from someone with no medical/dietetic credentials. She had nothing to back up her claims, but she preached it like doctrine. I also really struggled with the story of how she met her husband. She says that people may have issue with her sharing it and that it isn’t meant for it to be used to condone an unhealthy relationship. But....she married the man from her super unhealthy relationship. Guys, don’t marry the guy who “brings you to bars and ignores you while he hits on other women.” Don’t marry the guy who “only calls you at night when he’s been drinking but ignores you during the day.” Don’t marry the guy who you “give your virginity to because you don’t know how else to keep him interested.” I mean, really. She gave so much time to how terrible their first year was and then gives a quick “but now everything is great!” And it just doesn’t work for me.I think the point of the husband story was that when she told him she needed to be respected and she didn't want him calling anymore, he realized she was worth respecting. She had to respect herself to get respect, yada yada. Buuuutttt telling someone you don't want them to contact you anymore and then having them show up on your doorstep the next morning is literally the opposite of respect. I love it when I set boundaries and people totally ignore them—romance! Edit: I have to come back and discuss more things that are not okay. The diet pills? She essentially tells everyone that she and her roommate survived off of diet pills to the point that they were hallucinating, so they stopped taking them and gained back 40 lbs. She doesn’t discourage this, if anything the quick “oh and then we gained weight and became less attractive” seems like a subtle “I can’t recommend this BUT if you want to lose weight here’s how to do it.” Sooo not okay. Additionally, when people come to her her diet advice (why is she giving diet advice? Is she a dietician? Does she have any medical knowledge?) she tells them to start by drinking more water, and when they’ve mastered that start cutting out foods. Here’s an idea: listen to your body!! Thin =/= worthy/good/important.Another edit: I was on a plane with my young exhausted kids today and was thinking how an outsider would totally judge my parenting skills, but I gotta do what I gotta do and my in-flight parenting techniques are totally different from day-to-day. Then I remembered how Rachel went off on the totally exhausted mom for giving her kid candy on a plane. Maybe there was more to it that I’m not remembering? But honestly, anyone who has flown with their kids knows the struggle is real.",1.0
15,The Last Murder at the End of the World,"From the bestselling author of The 7 1/2 Deaths of Evelyn Hardcastle and The Devil and the Dark Water comes an inventive, high-concept murder mystery: an ingenious puzzle, an extraordinary backdrop, and an audacious solution.",4.00,"['March', '28,', '2024']",Biggest disappointment of 2024 so far...Review starts at 6:35 https://www.youtube.com/watch?v=rRCAi...,2.0
16,Annie Bot,,3.83,"['March', '19,', '2024']","this was such a fascinating character study that examines womanhood, autonomy, control, and emotionally abusive relationships. it reminded me of my first relationship where i lacked a sense of identity, received criticism when i showed humanity, and had a constant fear of displeasing him. big oof.",4.0
17,Baby X,,3.94,"['March', '5,', '2024']","Check out all my reviews on: 
The Book Review Crew Blog
3.5 StarsThis book was pretty good and very unique. I am not a big science fiction fan but speculative fiction floats my boat so I thought I’d give this a try and I am glad I did. What an imagination Kira Peikoff has.Told from multiple points of view, my favourite format, Baby X is about the future of DNA, embryos and science that goes too far. The pacing of the book had me frantically turning pages as I wanted to find out what would happen next. I thought for sure I would be bored to tears with the scientific terminology but Peikoff kept it interesting and didn’t make me feel stupid. (She has a master’s in bioethics) Not all the characters are likeable but there are ones to cheer for and I liked getting each person’s perspective because I felt like I got to know them from the inside.Three and a half stars is a decent book and I did enjoy most of it even though I figured out one of the twists. BUT…towards the finish there is another twist and I didn’t see it coming and I loved the way everything and everyone came together at the end. It did get a bit over the top but I am going to let it slide because it is speculative. I am going to round up (which I rarely do) because it was just so damn entertaining, it surprised me, it was a fast, easy read and I like popcorn thrillers to a certain extent. I ain’t mad I read it!",4.0
18,The Day Tripper,"The right guy, the right place, the wrong time.",3.75,"['March', '19,', '2024']","The story in this book starts in 1995 when Alex Dean is a young man who met the love of his life and has a bright future ahead of him. Or this is what he thinks. But after a fight and trauma to his head, he starts to live every day in a different year of his wrecked life. How could it happen that he had such a disaster in life and killed the woman he loved? And the most important is can he change something?The book is a bit slow at the beginning and is very confusing because it is hard to understand the story from such different points in Alex's life, but after a while, the reader gets used to it and we see the events that led to bad decisions. Later under Alex's actions the past and the future start changing and Alex becomes a different better version of himself.I read a few books about time travel and this one is good, in my opinion. It leaves us to wonder and analyze our own lives to decide that we made the best decisions in the course of it.",4.0
19,Floating Hotel,"This cozy debut science fiction novel tells a story of misfits, rebels, found family—and a mystery that spans the stars.",3.78,"['March', '19,', '2024']","What a fun read to kick off the new year! Each chapter of Floating Hotel features a different passenger or crew member on board the hulking Grand Abeona Hotel as it saunters through the galaxy and Grace Curtis paints vivid portraits of the ragtag cadre of characters. While spending limited time with and shifting through each person’s perspective may be disorienting for some, there is a captivating mystery at the core of the book that provides a compelling thread connecting each distinct section.The tone of the book vibrates on a similar frequency as Josiah Bancroft’s “Books of Babel” series — there are airships, class divides, a dash of whimsy, and a hodgepodge of peculiar characters, each aboard the vessel for a different reason.There were some deliciously dark details that might make some question the “cozy” genre classification, but the story and characters exude charm, Curtis’s writing flows beautifully, and I raced through each chapter until reaching the final page. All in all, I greatly enjoyed my time spent aboard the Grand Abeona Hotel.My thanks to NetGalley and the publisher for an advanced reader copy in exchange for an honest review.See this review and others at 
The Speculative Shelf
 and follow 
@specshelf
 on Twitter and 
@thespeculativeshelf
 on Instagram.",4.0
20,Memory Piece,,3.37,"['March', '19,', '2024']",i love reading about artists. that way i can pretend i'm creative and interesting(thanks to the publisher for the copy / review to come),3.0
21,Cascade Failure,,4.00,"['March', '19,', '2024']","I would like to thank Edelweiss and Tor Books for the opportunity to read and review this ARC.This was a super simple galaxy romp, with an interesting crew and a full of ""feelings"" AI captain. There was a touch of tension, some running-through-the-marketplace action and some performative melodrama that was about as believable as Saint and Jal's ""die for each other"" vibe being a ""nothin' but bros"" flex. Regardless, this had potential but it read a bit flat to me. I honestly don't think I'm the ""goofy"" SciFi type. I thought Anke was weird... and not in the good way. And her dialogue was exceptionally cringe. Nash's too. I was NOT a fan of either of these two, and I think there's a definite line between quirky and immature, and I would have enjoyed this book so much more had these two characters read less puerile. I'm probably not the intended reader for this, so I won't belabour the point, because I'd like to forget how awkward I felt reading their POVS. Other than that, Cascade Failure isn't doing anything new, but there were still some fun moments scattered throughout. I enjoyed the first part much more than the second, and somehow I'd found a deep well of patience for whatever the fk was going on between Saint and Jal that kept me intrigued enough to stick it out. But like most of this book, there just wasn't enough depth in the characterizations, or the plot for that matter, for me to feel invested in the outcome.I do like Saint and Jal and Eoan a lot though, even if they are just the prototypical soldier-cyborg-AI triad that's pretty much a genre staple, so there's that. Cascade failure isn't reinventing the wheel, and will appeal more to those new/unfamiliar with the genre. But there's a bit of potential here and I'm curious enough to see where the Ambit is headed to next, so I'll probably continue this series a bit later on...once enough time has passed and I've significantly forgotten how cringey I found both Anke and Nash to be.",3.0
