,title,genre,description
10,When You Dare,Romance,"The tougher they are, the harder they fall…Professional mercenary Dare Macintosh lives by one hard and fast rule: business should never be personal. If a cause appeals to him and the price is right, he'll take the mission he's offered. But then the lovely Molly Alexander asks him to help her track down the men who'd had her kidnapped—and for the first time, Dare's tempted to combine work with pleasure.Fiercely independent, Molly vows to trust no one until she's uncovered the truth. Could the enemy be her powerful, estranged father? The ex-fiancé who still holds a grudge? Or the not-so-shy fan of her bestselling novels? As the danger heats up around them, the only anchor Molly has is Dare himself. But what she feels for him just might be the most frightening thing of all…"
11,Burn for Me,Urban Fantasy,"Nevada Baylor is faced with the most challenging case of her detective career—a suicide mission to bring in a suspect in a volatile case. Nevada isn't sure she has the chops. Her quarry is a Prime, the highest rank of magic user, who can set anyone and anything on fire.Then she's kidnapped by Connor ""Mad"" Rogan—a darkly tempting billionaire with equally devastating powers. Torn between wanting to run or surrender to their overwhelming attraction, Nevada must join forces with Rogan to stay alive.Rogan's after the same target, so he needs Nevada. But she's getting under his skin, making him care about someone other than himself for a change. And, as Rogan has learned, love can be as perilous as death, especially in the magic world."
12,Rules of Protection,Romance,"It's rule breaker Emily Foster's birthday, and like everyone at The Jungle Room, she just wants to get some action. Unfortunately, she stumbles on the wrong kind, witnessing a mob hit. To protect her, she's entered into the Witness Protection Program with by-the-book Special Agent Jake Ward as her chaperone.When the location of their safe house is compromised, Jake stashes Emily deep in the Texas backwoods. The city-girl might be safe from the Mafia, but she has to contend with a psychotic rooster, a narcoleptic dog, crazy cowboys, and the danger of losing her heart to the one man she can't have.Jake's as hot as he is infuriating, and she can't help but push all his buttons to loosen him up. Their mutual, sizzling sexual attraction poses a Jake's determined to keep her safe and out of the wrong hands; she's determined to get into the right ones—his.Each book in the Tangled in Texas series is a standalone, full-length story that can be enjoyed out of order.Series Book #1 Rules of ProtectionBook #2 Playing With Fire"
13,Cry No More,Romance,"Fueled by an obsession to fill the void in other people’s lives, Milla Edge finds lost children—all the while trying to outrun the brutal emotions stemming from a tragedy in her past. Traveling to a small village in Mexico on a reliable tip, Milla begins to uncover the dire fate of countless children who have disappeared in the labyrinth of a sinister baby-smuggling ring. The key to nailing down the organization may rest with an elusive one-eyed man. As Milla’s search for him intensifies, the mission becomes more treacherous. For the ring is part of something far larger and more dangerous, reaching the highest echelons of power. Racing into peril, Milla suddenly finds herself the hunted—in the crosshairs of an invisible, lethal assassin who aims to silence her permanently."
14,Text,Romance,"***This is a new adult contemporary novel and contains sexual content and graphic language. It is not intended for young adult readers.*** One text can change everything. Honor Calhoun never thought her life would ever be like the books she writes for a living. One morning while out for a run, she learns not all bad things are plots in novels. Some horrors can actually come true. She faces off with a persistent attacker, holds her own, but in the end is taken hostage and thrown into a hole. In the middle of the woods. But Honor didn’t go down there alone. She took her kidnapper’s phone with her. With a spotty signal and a dying battery, her hope is slim. Nathan Reed is an active duty Marine stationed at a small reserve base in Pennsylvania. All he wants is a calm and uneventful duty station where he can forget the memories of his time in a war-torn country. But a single text changes everything. Nathan becomes Honor’s only hope for survival, and he has to go against the clock, push aside his past, and take on a mission for a girl he’s never met. Both of them want freedom… but they have to survive long enough to obtain it."
15,The Last Murder at the End of the World,Mystery,"Solve the murder to save what's left of the world.Outside the island there is nothing: the world was destroyed by a fog that swept the planet, killing anyone it touched.On the island: it is idyllic. One hundred and twenty-two villagers and three scientists, living in peaceful harmony. The villagers are content to fish, farm and feast, to obey their nightly curfew, to do what they're told by the scientists.Until, to the horror of the islanders, one of their beloved scientists is found brutally stabbed to death. And then they learn that the murder has triggered a lowering of the security system around the island, the only thing that was keeping the fog at bay. If the murder isn't solved within 107 hours, the fog will smother the island—and everyone on it.But the security system has also wiped everyone's memories of exactly what happened the night before, which means that someone on the island is a murderer—and they don't even know it.And the clock is ticking."
16,Annie Bot,Science Fiction,"A powerful, provocative novel about the relationship between a female robot and her human owner, exploring questions of intimacy, power, autonomy, and control.Annie Bot was created to be the perfect girlfriend for her human owner Doug. Designed to satisfy his emotional and physical needs, she has dinner ready for him every night, wears the pert outfits he orders for her, and adjusts her libido to suit his moods. True, she’s not the greatest at keeping Doug’s place spotless, but she’s trying to please him. She’s trying hard.She’s learning, too.Doug says he loves that Annie’s AI makes her seem more like a real woman, so Annie explores human traits such as curiosity, secrecy, and longing. But becoming more human also means becoming less perfect, and as Annie’s relationship with Doug grows more intricate and difficult, she starts to wonder: Does Doug really desire what he says he wants? And in such an impossible paradox, what does Annie owe herself?"
17,Baby X,Science Fiction,"When any biological matter can be used to create life, stolen celebrity DNA sells to the highest bidder–or the craziest stalker–in this propulsive thriller.With a vivid imagining of the future, Gattaca meets The Ones in Kira Peikoff’s Baby X .In the near-future United States, where advanced technology can create egg or sperm from any person’s cells, celebrities face the alarming potential of meeting biological children they never conceived. Famous singer Trace Thorne is tired of being targeted by the Vault, a black market site devoted to stealing DNA. Sick of paying ransom money for his own cell matter, he hires bio-security guard Ember Ryan to ensure his biological safety.  Ember will do anything she can to protect her clients. She knows all the Vault’s tricks–discarded tissues, used straws, lipstick tubes–and has prevented countless DNA thefts. Working for Thorne, her focus becomes split when she begins to fall for him, but she knows she hasn’t let anything slip–love or not, his DNA is safe. But then she and Thorne are confronted by a pregnant woman, Quinn, who claims that Thorne is the father of her baby, and all bets are off.   Brilliantly plotted and terrifyingly prescient, Baby X is an unpredictable and relentless speculative thriller perfect for fans of Blake Crouch."
18,The Day Tripper,Time Travel,"It’s 1995, and Alex Dean has it all: a spot at Cambridge University next year, the love of an amazing woman named Holly and all the time in the world ahead of him. That is until a brutal encounter with a ghost from his past sees him beaten, battered and almost drowning in the Thames.He wakes the next day to find he’s in a messy, derelict room he’s never seen before, in grimy clothes he doesn’t recognize, with no idea of how he got there. A glimpse in the mirror tells him he’s older—much older—and has been living a hard life, his features ravaged by time and poor decisions. He snatches a newspaper and finds it’s 2010—fifteen years since the fight.After finally drifting off to sleep, Alex wakes the following morning to find it’s now 2019, another nine years later. But the next day, it’s 1999. Never knowing which day is coming, he begins to piece together what happens in his life after that fateful night by the river.But what exactly is going on? Why does his life look nothing like he thought it would? What about Cambridge, and Holly? In this thrilling adventure, Alex must navigate his way through the years to learn that small actions have untold impact. And that might be all he needs to save the people he loves and, equally importantly, himself."
19,Floating Hotel,Science Fiction,"Welcome to the Grand Abeona Hotel: home of the finest food, the sweetest service, and the very best views the galaxy has to offer. All year round it moves from planet to planet, system to system, pampering guests across the furthest reaches of the milky way. The last word in sub-orbital luxury—and an absolute magnet for intrigue. Intrigues such as: Why are there love poems in the lobby inbox? How many Imperial spies are currently on board? What is the true purpose of the Problem Solver's conference? And perhaps most pertinently—who is driving the ship? Each guest has a secret, every member of staff a universe unto themselves. At the center of these interweaving lives and interlocking mysteries stands Carl, one time stowaway, longtime manager, devoted caretaker to the hotel. It's the love of his life and the only place he's ever called home. But as forces beyond Carl's comprehension converge on the Abeona, he has to face one final question: when is it time to let go?"
20,Memory Piece,Fiction,"In the early 1980s, Giselle Chin, Jackie Ong, and Ellen Ng are three teenagers drawn together by their shared sense of alienation and desire for something different. “Allied in the weirdest parts of themselves,” they envision each other as artistic collaborators and embark on a future defined by freedom and creativity.By the time they are adults, their dreams are murkier. As a performance artist, Giselle must navigate an elite social world she never conceived of. As a coder thrilled by the internet’s early egalitarian promise, Jackie must contend with its more sinister shift toward monetization and surveillance. And as a community activist, Ellen confronts the increasing gentrification and policing overwhelming her New York City neighborhood. Over time their friendship matures and changes, their definitions of success become complicated, and their sense of what matters evolves.Moving from the predigital 1980s to the art and tech subcultures of the 1990s to a strikingly imagined portrait of the 2040s, Memory Piece is an innovative and audacious story of three lifelong friends as they strive to build satisfying lives in a world that turns out to be radically different from the one they were promised."
21,Cascade Failure,Science Fiction,"L. M. Sagas' debut, Cascade Failure, is a highly commercial, sci-fi adventure blending J. S. Dewes' Divide series with the broad fan appeal of The Expanse and the cozy sf of Becky Chambers. It features a fierce, messy, chaotic space fam, vibrant worlds, and an exploration of the many ways to be―and not to be―human.There are only three real powers in the universe: the corporate power of the Trust versus the Union's labor's leverage. And between them, the Guild tries to keep everyone's hands above the table. It ain't easy.Branded a Guild deserter, Jal ""accidentally"" lands a ride on a Guild ship. Helmed by an AI, with a ship's engineer/medic who doesn't see much of a difference between the two jobs, and a ""don't make me shoot you"" XO, the Guild crew of the Ambit is a little . . . different.They're also in over their heads. Responding to a distress call from an abandoned planet, they find a mass grave, and a live programmer who knows how it happened. The Trust has plans. This isn't the first dead planet, and it's not going to be the last.Unless the crew of the Ambit can stop it.Ambit's Run seriesCascade Failure"
22,The Mars House,Science Fiction,"In the wake of environmental catastrophe, January, once a principal in London’s Royal Ballet, has become a refugee on Tharsis, the terraformed colony on Mars. In Tharsis, January’s life is dictated by his status as an Earthstronger—a person whose body is not adjusted to Mars’s lower gravity and so poses a danger to those born on, or naturalized to, Mars. January’s job choices, housing, and even transportation options are dictated by this second-class status, and now a xenophobic politician named Aubrey Gale is running on a platform that would make it all worse: Gale wants all Earthstrongers to be surgically naturalized, a process that can be anything from disabling to deadly.When Gale chooses January for an on-the-spot press junket interview that goes horribly awry, January’s life is thrown into chaos, but Gale’s political fortunes are damaged, too. Gale proposes a solution to both their problems: a five-year made-for-the-press marriage that would secure January’s financial future without naturalization and ensure Gale’s political future. But when January accepts the offer, he discovers that Gale is not at all like they appear in the press. And worse, soon, January finds himself entangled in political and personal events well beyond his imagining. Gale has an enemy, someone willing to destroy all of Tharsis to make them pay—and January may be the only person standing in the way."
23,Those Beyond the Wall,Science Fiction,"Faced with a coming apocalypse, a woman must reckon with her past to solve a series of sudden and inexplicable deaths in a searing sci-fi thriller from the Compton Crook Award–winning author of The Space Between Worlds.Scales is the best at what she does. She is an enforcer who keeps the peace in Ashtown; a rough, climate-ravaged desert town. But that fragile peace is fractured when a woman is mangled and killed within Ash's borders, right in front of Scales's eyes. Even more incomprehensible is that there was seemingly no murderer.When more mutilated bodies start to turn up, both in Ashtown and in the wealthier, walled-off Wiley City, Scales is tasked with finding the cause—and putting an end to it. She teams up with a frustratingly by-the-books partner and a brusque-but-brilliant scientist in order to uncover the truth, delving into both worlds to track down the invisible killer. But what they find points to something bigger and more corrupt than they could've ever foreseen—and it could spell doom for the entire world."
24,When I'm Her,Thriller,"Though polar opposites, Mary and Elizabeth are as close as can be—until the night Elizabeth makes an irrevocable mistake and leaves Mary to take the blame. Years later, Elizabeth seems to have forgotten Mary exists.Mary hasn’t forgotten her.She follows Elizabeth’s every move online, obsessed with paying her back for the betrayal that cost Mary her dreams. Now Mary has found a way to switch bodies with Elizabeth, and she’s got a plan to steal her charmed life. Her career. Her looks. Her husband. They do say living well is the best revenge.Or is it? The more Mary uncovers about Elizabeth’s life, the more she realizes she may have made a deadly mistake. And she'll need the help of her worst enemy to stay alive."
25,The World That Was,Science Fiction,"Planet Earth is broken.Civilisation was plunged back into the Dark Age when the Sun spewed forth the largest solar flare in recorded history. But amidst the ashes, a lone physicist made humanity's greatest scientific breakthrough - time travel.A decade later, the fledgling technology is ready to send a pair of daring pioneers on a one-way journey into the past. When the portal shuts there will be no communication. And no coming back.Even then Matilda and Harry were enthusiastic volunteers, eager to impart their futuristic knowledge so a future civilisation might mitigate the inevitable celestial cataclysm.But when the inaugural mission goes awry in its opening heartbeats, Matilda finds herself trapped and alone in 12th Century England.She is Chronomad One. Humanity's first time traveller."
26,Greatest Hits,Short Stories,"How to summarize the psychedelic, witty, helter-skelter mind of Harlan Ellison?A mind that refused to be contained by something as rudimentary as genre, form, or even a particular label. A mind that created some of the most outrageous short stories and novellas of the science fiction, fantasy, and speculative genres – including “I Have No Mouth, and I Must Scream,” with its unhinged artificial intelligence bent on torturing what is left of humanity, and “Jeffty Is Five,” featuring a young boy’s mysterious, time-bending powers. A mind that passionately identified with the underdog, sometimes with disastrous results. A mind incandescent with fury, that saw storytelling as “a holy chore.”Assembled by the Harlan and Susan Ellison Foundation, Greatest Hits is an overview of Ellison’s award-winning and highly acclaimed short stories – as well as the stories that Ellison himself most treasured. Featuring a preface by Ellison’s executor and friend J. Michael Straczynski, a foreword by award-winning and bestselling author Neil Gaiman, and an introduction by bestselling author Cassandra Khaw, this collection of short stories and novellas serves as a guide to a writer who left his mark on the twentieth century – and whose legacy is in your hands."
27,The First State of Being,Middle Grade,"When twelve-year-old Michael Rosario meets a mysterious boy from the future, his life is changed forever. From bestselling author Erin Entrada Kelly, winner of the Newbery Medal for Hello, Universe and a Newbery Honor for We Dream of Space, this novel explores themes of family, friendship, trust, and forgiveness. The First State of Being is for fans of Rebecca Stead’s When You Reach Me.It's August 1999. For twelve-year-old Michael Rosario, life at Fox Run Apartments in Red Knot, Delaware, is as ordinary as ever—except for the looming Y2K crisis and his overwhelming crush on his fifteen-year-old babysitter, Gibby. But when a disoriented teenage boy named Ridge appears out of nowhere, Michael discovers there is more to life than stockpiling supplies and pining over Gibby.It turns out that Ridge is carefree, confident, and bold, things Michael wishes he could be. Unlike Michael, however, Ridge isn’t where he belongs. When Ridge reveals that he’s the world’s first time traveler, Michael and Gibby are stunned but curious. As Ridge immerses himself in 1999—fascinated by microwaves, basketballs, and malls—Michael discovers that his new friend has a book that outlines the events of the next twenty years, and his curiosity morphs into something else: focused determination. Michael wants—no, needs—to get his hands on that book. How else can he prepare for the future? But how far is he willing to go to get it?A story of time travel, friendship, found family, and first loves, this thematically rich novel is distinguished by its voice, character development, setting, and exploration of the issues that resonate with middle grade readers."
28,Alien Clay,Science Fiction,"They travelled into the unknown and left themselves behind . . .On the distant world of Kiln lie the ruins of an alien civilization. It’s the greatest discovery in humanity’s spacefaring history – yet who were its builders and where did they go?Professor Arton Daghdev had always wanted to study alien life up close. Then his wishes become a reality in the worst way. His political activism sees him exiled from Earth to Kiln’s extrasolar labour camp. There, he’s condemned to work under an alien sky until he dies.Kiln boasts a ravenous, chaotic ecosystem like nothing seen on Earth. The monstrous alien life interacts in surprising, sometimes shocking ways with the human body, so Arton will risk death on a daily basis. However, the camp’s oppressive regime might just kill him first. If Arton can somehow escape both fates, the world of Kiln holds a wondrous, terrible secret. It will redefine life and intelligence as he knows it, and might just set him free . . ."
29,Meet Me in the Fourth Dimension,Poetry,"It’s easy to believe in the apocalypse when you’re losing your religion.NASA has assured everyone the passage of rogue planet Malachite will be safe, but Crosby's been getting other messages―from a fortune teller and Malachite truther message boards. And now she believes that Malachite will kill everyone who doesn’t ascend to the fourth dimension―a higher plane that transcends physicality.She tries to prepare her friends and family to leave their bodies behind and raise their frequency by changing their diets, wearing the right crystals, and moving into her friend’s bunker before it’s too late. But no one is listening.The more time she spends trying to talk her roommate and her quirky friends into her apocalypse plans, the more Crosby is forced to face the cracks in everything she believes to be true.This novel in verse explores the danger and humanity of conspiracy in a post-truth world through empathy, friendship, and forgiveness."
30,The Midnight Library,Fiction,"Every book provides a chance to try another life you could have lived. To see how things would be if you had made other choices . . . Would you have done anything different, if you had the chance to undo your regrets? A novel about all the choices that go into a life well lived.Somewhere out beyond the edge of the universe there is a library that contains an infinite number of books, each one the story of another reality. One tells the story of your life as it is, along with another book for the other life you could have lived if you had made a different choice at any point in your life. While we all wonder how our lives might have been, what if you had the chance to go to the library and see for yourself? Would any of these other lives truly be better?Nora Seed finds herself faced with this decision. Faced with the possibility of changing her life for a new one, following a different career, undoing old breakups, realizing her dreams of becoming a glaciologist; she must search within herself as she travels through the Midnight Library to decide what is truly fulfilling in life, and what makes it worth living in the first place."
31,Shadow Me,Fantasy,"Juliette is still reeling from Warner's betrayal, and Kenji is trying to balance his friendship with her with his responsibilities as a leader of the resistance against the Reestablishment. Things get even more interesting when an unexpected person from Omega Point’s past surfaces.The ending of Restore Me left readers gasping, and this novella full of Kenji’s signature sass and big heart is the perfect story to tide fans over until Defy Me, the shocking fifth book in the Shatter Me series."
32,The Institute,Horror,"In the middle of the night, in a house on a quiet street in suburban Minneapolis, intruders silently murder Luke Ellis’s parents and load him into a black SUV. The operation takes less than two minutes. Luke will wake up at The Institute, in a room that looks just like his own, except there’s no window. And outside his door are other doors, behind which are other kids with special talents—telekinesis and telepathy—who got to this place the same way Luke did: Kalisha, Nick, George, Iris, and ten-year-old Avery Dixon. They are all in Front Half. Others, Luke learns, graduated to Back Half, “like the roach motel,” Kalisha says. “You check in, but you don’t check out.”In this most sinister of institutions, the director, Mrs. Sigsby, and her staff are ruthlessly dedicated to extracting from these children the force of their extranormal gifts. There are no scruples here. If you go along, you get tokens for the vending machines. If you don’t, punishment is brutal. As each new victim disappears to Back Half, Luke becomes more and more desperate to get out and get help. But no one has ever escaped from the Institute.As psychically terrifying as Firestarter, and with the spectacular kid power of It, The Institute is Stephen King's gut-wrenchingly dramatic story of good versus evil in a world where the good guys don't always win.--front flap"
33,Annie Bot,Science Fiction,"A powerful, provocative novel about the relationship between a female robot and her human owner, exploring questions of intimacy, power, autonomy, and control.Annie Bot was created to be the perfect girlfriend for her human owner Doug. Designed to satisfy his emotional and physical needs, she has dinner ready for him every night, wears the pert outfits he orders for her, and adjusts her libido to suit his moods. True, she’s not the greatest at keeping Doug’s place spotless, but she’s trying to please him. She’s trying hard.She’s learning, too.Doug says he loves that Annie’s AI makes her seem more like a real woman, so Annie explores human traits such as curiosity, secrecy, and longing. But becoming more human also means becoming less perfect, and as Annie’s relationship with Doug grows more intricate and difficult, she starts to wonder: Does Doug really desire what he says he wants? And in such an impossible paradox, what does Annie owe herself?"
34,Sea of Tranquility,Fiction,"Edwin St. Andrew is eighteen years old when he crosses the Atlantic by steamship, exiled from polite society following an ill-conceived diatribe at a dinner party. He enters the forest, spellbound by the beauty of the Canadian wilderness, and suddenly hears the notes of a violin echoing in an airship terminal--an experience that shocks him to his core. Two centuries later a famous writer named Olive Llewellyn is on a book tour. She's traveling all over Earth, but her home is the second moon colony, a place of white stone, spired towers, and artificial beauty. Within the text of Olive's best-selling pandemic novel lies a strange passage: a man plays his violin for change in the echoing corridor of an airship terminal as the trees of a forest rise around him. When Gaspery-Jacques Roberts, a detective in the black-skied Night City, is hired to investigate an anomaly in the North American wilderness, he uncovers a series of lives upended: The exiled son of an earl driven to madness, a writer trapped far from home as a pandemic ravages Earth, and a childhood friend from the Night City who, like Gaspery himself, has glimpsed the chance to do something extraordinary that will disrupt the timeline of the universe. A virtuoso performance that is as human and tender as it is intellectually playful, Sea of Tranquility is a novel of time travel and metaphysics that precisely captures the reality of our current moment.'"
35,A Psalm for the Wild-Built,Science Fiction,"ASIN B08H831J18 moved to the more recent editionCenturies before, robots of Panga gained self-awareness, laid down their tools, wandered, en masse into the wilderness, never to be seen again. They faded into myth and urban legend.Now the life of the tea monk who tells this story is upended by the arrival of a robot, there to honor the old promise of checking in. The robot cannot go back until the question of ""what do people need?"" is answered. But the answer to that question depends on who you ask, and how. They will need to ask it a lot. Chambers' series asks: in a world where people have what they want, does having more matter?"
36,Prophet Song,Fiction,"A fearless portrait of a society on the brink as a mother faces a terrible choice, from an internationally award-winning authorOn a dark, wet evening in Dublin, scientist and mother-of-four Eilish Stack answers her front door to find the GNSB on her step. Two officers from Ireland’s newly formed secret police are here to interrogate her husband, a trade unionist.Ireland is falling apart. The country is in the grip of a government turning towards tyranny and Eilish can only watch helplessly as the world she knew disappears. When first her husband and then her eldest son vanish, Eilish finds herself caught within the nightmare logic of a collapsing society.How far will she go to save her family? And what – or who – is she willing to leave behind?Exhilarating, terrifying and propulsive, Prophet Song is a work of breathtaking originality, offering a devastating vision of a country at war and a deeply human portrait of a mother’s fight to hold her family together."
37,Recursion,Science Fiction,"That's what NYC cop Barry Sutton is learning, as he investigates the devastating phenomenon the media has dubbed False Memory Syndrome—a mysterious affliction that drives its victims mad with memories of a life they never lived.That's what neuroscientist Helena Smith believes. It's why she's dedicated her life to creating a technology that will let us preserve our most precious memories. If she succeeds, anyone will be able to re-experience a first kiss, the birth of a child, the final moment with a dying parent.As Barry searches for the truth, he comes face to face with an opponent more terrifying than any disease—a force that attacks not just our minds, but the very fabric of the past. And as its effects begin to unmake the world as we know it, only he and Helena, working together, will stand a chance at defeating it.But how can they make a stand when reality itself is shifting and crumbling all around them?At once a relentless pageturner and an intricate science-fiction puzzlebox about time, identity, and memory, Recursion is a thriller as only Blake Crouch could imagine it—and his most ambitious, mind-boggling, irresistible work to date."
38,The First to Die at the End,Romance,"In this prequel to #1 New York Times bestselling phenomenon They Both Die at the End, two new strangers spend a life-changing day together after Death-Cast first makes their fateful calls.It’s the night before Death-Cast goes live, and there’s one question on everyone’s mind: Can Death-Cast actually predict when someone will die, or is it just an elaborate hoax?Orion Pagan has waited years for someone to tell him that he’s going to die. He has a serious heart condition, and he signed up for Death-Cast so he could know what’s coming.Valentino Prince is restarting his life in New York. He has a long and promising future ahead and he only registered for Death-Cast after his twin sister nearly died in a car accident.Orion and Valentino cross paths in Times Square and immediately feel a deep connection. But when the first round of End Day calls goes out, their lives are changed forever—one of them receives a call, and the other doesn’t. Though neither boy is certain how the day will end, they know they want to spend it together…even if that means their goodbye will be heartbreaking.Told with acclaimed author Adam Silvera’s signature bittersweet touch, this story celebrates the lasting impact that people have on each other and proves that life is always worth living to the fullest."
39,The Testaments,Fiction,"When the van door slammed on Offred's future at the end of The Handmaid's Tale, readers had no way of telling what lay ahead for her--freedom, prison or death.With The Testaments, the wait is over.Margaret Atwood's sequel picks up the story more than fifteen years after Offred stepped into the unknown, with the explosive testaments of three female narrators from Gilead.In this brilliant sequel to The Handmaid's Tale, acclaimed author Margaret Atwood answers the questions that have tantalized readers for decades.""Dear Readers: Everything you've ever asked me about Gilead and its inner workings is the inspiration for this book. Well, almost everything! The other inspiration is the world we've been living in."" --Margaret AtwoodAn alternate cover edition of ISBN 978-0385543781 can be found here."
